name,URL,string_date,birthday
Mark Jackson,https://en.wikipedia.org//wiki/Mark_Jackson_(basketball),April_1,2020-04-01
Beth Tweddle,https://en.wikipedia.org//wiki/Beth_Tweddle,April_1,2020-04-01
Sean Taylor,https://en.wikipedia.org//wiki/Sean_Taylor,April_1,2020-04-01
Otto von Bismarck,https://en.wikipedia.org//wiki/Otto_von_Bismarck,April_1,2020-04-01
Sergei Rachmaninoff,https://en.wikipedia.org//wiki/Sergei_Rachmaninoff,April_1,2020-04-01
Edgar Wallace,https://en.wikipedia.org//wiki/Edgar_Wallace,April_1,2020-04-01
Wallace Beery,https://en.wikipedia.org//wiki/Wallace_Beery,April_1,2020-04-01
Winston Churchill,https://en.wikipedia.org//wiki/Winston_Churchill,April_1,2020-04-01
Governor-General of Australia,https://en.wikipedia.org//wiki/Governor-General_of_Australia,April_1,2020-04-01
Toshiro Mifune,https://en.wikipedia.org//wiki/Toshiro_Mifune,April_1,2020-04-01
Debbie Reynolds,https://en.wikipedia.org//wiki/Debbie_Reynolds,April_1,2020-04-01
President of the Swiss Confederation,https://en.wikipedia.org//wiki/List_of_Presidents_of_the_Swiss_Confederation,April_1,2020-04-01
Samuel R. Delany,https://en.wikipedia.org//wiki/Samuel_R._Delany,April_1,2020-04-01
Jimmy Cliff,https://en.wikipedia.org//wiki/Jimmy_Cliff,April_1,2020-04-01
Susan Boyle,https://en.wikipedia.org//wiki/Susan_Boyle,April_1,2020-04-01
Chris Grayling,https://en.wikipedia.org//wiki/Chris_Grayling,April_1,2020-04-01
Vitor Belfort,https://en.wikipedia.org//wiki/Vitor_Belfort,April_1,2020-04-01
Ding Junhui,https://en.wikipedia.org//wiki/Ding_Junhui,April_1,2020-04-01
Magdalena Maleeva,https://en.wikipedia.org//wiki/Magdalena_Maleeva,April_1,2020-04-01
Dean Windass,https://en.wikipedia.org//wiki/Dean_Windass,April_1,2020-04-01
Mehmet Özdilek,https://en.wikipedia.org//wiki/Mehmet_%C3%96zdilek,April_1,2020-04-01
