name,URL,string_date,birthday
Oliver Turvey,https://en.wikipedia.org//wiki/Oliver_Turvey,April_1,2020-04-01
Beth Tweddle,https://en.wikipedia.org//wiki/Beth_Tweddle,April_1,2020-04-01
Otto von Bismarck,https://en.wikipedia.org//wiki/Otto_von_Bismarck,April_1,2020-04-01
Edgar Wallace,https://en.wikipedia.org//wiki/Edgar_Wallace,April_1,2020-04-01
Wallace Beery,https://en.wikipedia.org//wiki/Wallace_Beery,April_1,2020-04-01
Winston Churchill,https://en.wikipedia.org//wiki/Winston_Churchill,April_1,2020-04-01
Toshiro Mifune,https://en.wikipedia.org//wiki/Toshiro_Mifune,April_1,2020-04-01
Debbie Reynolds,https://en.wikipedia.org//wiki/Debbie_Reynolds,April_1,2020-04-01
Jimmy Cliff,https://en.wikipedia.org//wiki/Jimmy_Cliff,April_1,2020-04-01
Susan Boyle,https://en.wikipedia.org//wiki/Susan_Boyle,April_1,2020-04-01
Chris Grayling,https://en.wikipedia.org//wiki/Chris_Grayling,April_1,2020-04-01
Ferenc Puskás,https://en.wikipedia.org//wiki/Ferenc_Pusk%C3%A1s,April_1,2020-04-01
Abdul Qadeer Khan,https://en.wikipedia.org//wiki/Abdul_Qadeer_Khan,April_1,2020-04-01
Ding Junhui,https://en.wikipedia.org//wiki/Ding_Junhui,April_1,2020-04-01
Arrigo Sacchi,https://en.wikipedia.org//wiki/Arrigo_Sacchi,April_1,2020-04-01
Randy Orton,https://en.wikipedia.org//wiki/Randy_Orton,April_1,2020-04-01
Clarence Seedorf,https://en.wikipedia.org//wiki/Clarence_Seedorf,April_1,2020-04-01
David Gilliland,https://en.wikipedia.org//wiki/David_Gilliland,April_1,2020-04-01
Phil Niekro,https://en.wikipedia.org//wiki/Phil_Niekro,April_1,2020-04-01
Dean Windass,https://en.wikipedia.org//wiki/Dean_Windass,April_1,2020-04-01
Magdalena Maleeva,https://en.wikipedia.org//wiki/Magdalena_Maleeva,April_1,2020-04-01
Mark Jackson,https://en.wikipedia.org//wiki/Mark_Jackson_(basketball),April_1,2020-04-01
Alberto Zaccheroni,https://en.wikipedia.org//wiki/Alberto_Zaccheroni,April_1,2020-04-01
Paul Manafort,https://en.wikipedia.org//wiki/Paul_Manafort,April_1,2020-04-01
Javier Irureta,https://en.wikipedia.org//wiki/Javier_Irureta,April_1,2020-04-01
Mehmet Özdilek,https://en.wikipedia.org//wiki/Mehmet_%C3%96zdilek,April_1,2020-04-01
Juha Kankkunen,https://en.wikipedia.org//wiki/Juha_Kankkunen,April_2,2020-04-02
Stéphane Lambiel,https://en.wikipedia.org//wiki/St%C3%A9phane_Lambiel,April_2,2020-04-02
David Ferrer,https://en.wikipedia.org//wiki/David_Ferrer,April_2,2020-04-02
Teddy Sheringham,https://en.wikipedia.org//wiki/Teddy_Sheringham,April_2,2020-04-02
Emmylou Harris,https://en.wikipedia.org//wiki/Emmylou_Harris,April_2,2020-04-02
Todd Woodbridge,https://en.wikipedia.org//wiki/Todd_Woodbridge,April_2,2020-04-02
Mike Hailwood,https://en.wikipedia.org//wiki/Mike_Hailwood,April_2,2020-04-02
Charlemagne,https://en.wikipedia.org//wiki/Charlemagne,April_2,2020-04-02
Hans Christian Andersen,https://en.wikipedia.org//wiki/Hans_Christian_Andersen,April_2,2020-04-02
Alec Guinness,https://en.wikipedia.org//wiki/Alec_Guinness,April_2,2020-04-02
Jack Brabham,https://en.wikipedia.org//wiki/Jack_Brabham,April_2,2020-04-02
Don Sutton,https://en.wikipedia.org//wiki/Don_Sutton,April_2,2020-04-02
Leon Russell,https://en.wikipedia.org//wiki/Leon_Russell,April_2,2020-04-02
Linford Christie,https://en.wikipedia.org//wiki/Linford_Christie,April_2,2020-04-02
Ajay Devgan,https://en.wikipedia.org//wiki/Ajay_Devgan,April_2,2020-04-02
Edmundo Alves de Souza Neto,https://en.wikipedia.org//wiki/Edmundo_Alves_de_Souza_Neto,April_2,2020-04-02
Marvin Gaye,https://en.wikipedia.org//wiki/Marvin_Gaye,April_2,2020-04-02
Miralem Pjanić,https://en.wikipedia.org//wiki/Miralem_Pjani%C4%87,April_2,2020-04-02
Billy Pierce,https://en.wikipedia.org//wiki/Billy_Pierce,April_2,2020-04-02
Yevgeniya Kanayeva,https://en.wikipedia.org//wiki/Yevgeniya_Kanayeva,April_2,2020-04-02
Ibrahim Afellay,https://en.wikipedia.org//wiki/Ibrahim_Afellay,April_2,2020-04-02
Michael Clarke,https://en.wikipedia.org//wiki/Michael_Clarke_(cricketer),April_2,2020-04-02
Helmut Kohl,https://en.wikipedia.org//wiki/Helmut_Kohl,April_3,2020-04-03
Jane Goodall,https://en.wikipedia.org//wiki/Jane_Goodall,April_3,2020-04-03
Gus Grissom,https://en.wikipedia.org//wiki/Gus_Grissom,April_3,2020-04-03
Eddie Murphy,https://en.wikipedia.org//wiki/Eddie_Murphy,April_3,2020-04-03
Nigel Farage,https://en.wikipedia.org//wiki/Nigel_Farage,April_3,2020-04-03
Lance Storm,https://en.wikipedia.org//wiki/Lance_Storm,April_3,2020-04-03
Tommy Haas,https://en.wikipedia.org//wiki/Tommy_Haas,April_3,2020-04-03
Leona Lewis,https://en.wikipedia.org//wiki/Leona_Lewis,April_3,2020-04-03
Brandon Graham,https://en.wikipedia.org//wiki/Brandon_Graham,April_3,2020-04-03
Israel Folau,https://en.wikipedia.org//wiki/Israel_Folau,April_3,2020-04-03
Jaya Prada,https://en.wikipedia.org//wiki/Jaya_Prada,April_3,2020-04-03
Doris Day,https://en.wikipedia.org//wiki/Doris_Day,April_3,2020-04-03
Leslie Howard,https://en.wikipedia.org//wiki/Leslie_Howard_(actor),April_3,2020-04-03
Stanislaw Ulam,https://en.wikipedia.org//wiki/Stanislaw_Ulam,April_3,2020-04-03
Ben Foster,https://en.wikipedia.org//wiki/Ben_Foster_(footballer),April_3,2020-04-03
Simon Black,https://en.wikipedia.org//wiki/Simon_Black,April_3,2020-04-03
Alec Baldwin,https://en.wikipedia.org//wiki/Alec_Baldwin,April_3,2020-04-03
Tony Benn,https://en.wikipedia.org//wiki/Tony_Benn,April_3,2020-04-03
Marlon Brando,https://en.wikipedia.org//wiki/Marlon_Brando,April_3,2020-04-03
Swaminarayan,https://en.wikipedia.org//wiki/Swaminarayan,April_3,2020-04-03
Washington Irving,https://en.wikipedia.org//wiki/Washington_Irving,April_3,2020-04-03
Lorenzo Snow,https://en.wikipedia.org//wiki/Lorenzo_Snow,April_3,2020-04-03
Neville Cardus,https://en.wikipedia.org//wiki/Neville_Cardus,April_3,2020-04-03
Sam Manekshaw,https://en.wikipedia.org//wiki/Sam_Manekshaw,April_3,2020-04-03
Stanisława Walasiewicz,https://en.wikipedia.org//wiki/Stanis%C5%82awa_Walasiewicz,April_3,2020-04-03
Dudi Sela,https://en.wikipedia.org//wiki/Dudi_Sela,April_4,2020-04-04
Aiden McGeady,https://en.wikipedia.org//wiki/Aiden_McGeady,April_4,2020-04-04
Heath Ledger,https://en.wikipedia.org//wiki/Heath_Ledger,April_4,2020-04-04
Tris Speaker,https://en.wikipedia.org//wiki/Tris_Speaker,April_4,2020-04-04
Bea Benaderet,https://en.wikipedia.org//wiki/Bea_Benaderet,April_4,2020-04-04
Dettmar Cramer,https://en.wikipedia.org//wiki/Dettmar_Cramer,April_4,2020-04-04
Maya Angelou,https://en.wikipedia.org//wiki/Maya_Angelou,April_4,2020-04-04
